"claim_id","phase","subject","claim_text","provenance","status","url","snippet","date_accessed","used_in"
"C204","2","WAP / Trisight Engineering","WAP Sustainability acquired Trisight Engineering in September 2022, described as a leader in life cycle assessments for the asphalt and construction products industries. No deal value appeared in the sources returned.","source-asserted","Blocked","https://wapsustainability.com/2022/09/26/wap-sustainability-expands-lca-epd-capabilities-with-purchase-of-trisight-engineering/","[BLOCKED: local egress proxy answered 403 to CONNECT. Source page never reached. Text below is search-result summary, not page text.] Search summary: 'WAP Sustainability's second LCA acquisition of 2022, with the company previously purchasing Trisight Engineering in September.'","2026-09-03","02-TRANSACTION-COMPS.md"
"C205","2","Intertek / SAI Global Assurance","Intertek announced the acquisition of SAI Global Assurance on 13 May 2021 for cash consideration of AUD 855 million on a cash-free and debt-free basis, completing 8 September 2021. SAI Global Assurance was founded in 2003, headquartered in Australia, with scale positions in the US, Canada and the UK.","source-asserted","Blocked","https://www.intertek.com/news/2021/05-13-intertek-acquires-sai-global-assurance/","[BLOCKED: local egress proxy answered 403 to CONNECT. Source page never reached. Text below is search-result summary, not page text.] Search summary: 'Intertek acquired SAI Global Assurance for cash consideration of A$855m on a cash-free and debt-free basis ... completed on September 8, 2021.'","2026-09-03","02-TRANSACTION-COMPS.md"
"C206","2","UL Solutions / Healthy Buildings International","UL Solutions acquired Healthy Buildings International, a United Kingdom-based health, safety and compliance company, in July 2023 for approximately USD 6 million. The target was founded in 1992 and provides advisory and software-related building safety services.","source-asserted","Blocked","https://bebeez.eu/2023/07/10/ul-solutions-acquires-healthy-buildings-international/","[BLOCKED: local egress proxy answered 403 to CONNECT. Source page never reached. Text below is search-result summary, not page text.] Search summary: 'In July 2023, UL Solutions acquired Healthy Buildings International ... for approximately $6 million.'","2026-09-03","02-TRANSACTION-COMPS.md"
"C207","2","Anguleris / Concora Spec","Anguleris completed the acquisition of Concora Spec, the product specification platform formerly known as SmartBIM, announced February 2025. It was the third in a string of Anguleris acquisitions after Modlar in 2023 and ClubDesign in 2024. No deal value appeared in the sources returned.","source-asserted","Blocked","https://anguleris.com/news/Anguleris-Acquires-Concora-Extending-Leadership-in-BIM-Technology-for-Building-Product-Manufacturers","[BLOCKED: local egress proxy answered 403 to CONNECT. Source page never reached. Text below is search-result summary, not page text.] Search summary: 'the third in a string of acquisitions for Anguleris, which acquired the architectural inspiration platform Modlar in 2023, followed by the material sampling platform ClubDesign in 2024.'","2026-09-03","02-TRANSACTION-COMPS.md"
"C208","2","Material Bank / Amber Engine","Material Bank announced the acquisition of Amber Engine, a product information management software company based in Detroit, on 17 March 2022. Amber Engine remained a distinct platform within Material Bank. No deal value appeared in the sources returned.","source-asserted","Blocked","https://www.globenewswire.com/en/news-release/2022/03/17/2405567/0/en/Material-Bank-Acquires-Product-Data-Technology-Company-Amber-Engine.html","[BLOCKED: local egress proxy answered 403 to CONNECT. Source page never reached. Text below is search-result summary, not page text.] Search summary: announcement dated 17 March 2022; 'Amber Engine, based in Detroit, MI, remained a distinct platform within Material Bank.'","2026-09-03","02-TRANSACTION-COMPS.md"
"C209","2","Ecomedes / Mortarr","Ecomedes acquired Mortarr, a commercial construction and design search and discovery engine, announced 25 April 2022. No deal value appeared in the sources returned.","source-asserted","Blocked","https://www.prweb.com/releases/ecomedes-acquires-leading-commercial-design-discovery-platform-mortarr-810335290.html","[BLOCKED: local egress proxy answered 403 to CONNECT. Source page never reached. Text below is search-result summary, not page text.] Search summary: 'The acquisition was announced on April 25, 2022.'","2026-09-03","02-TRANSACTION-COMPS.md"
"C210","2","Schneider Electric / EcoAct","Schneider Electric finalised the acquisition of EcoAct, a Paris-based climate consultancy, on 2 November 2023, for an undisclosed sum. EcoAct employed around 400 people and generated EUR 70 million revenue in its last year under Atos ownership.","source-asserted","Blocked","https://www.esgtoday.com/schneider-electric-acquires-climate-consultancy-ecoact/","[BLOCKED: local egress proxy answered 403 to CONNECT. Source page never reached. Text below is search-result summary, not page text.] Search summary: 'The acquisition was finalized on November 2, 2023 ... for an undisclosed sum ... EcoAct employed 400 people and generated EUR 70m in revenue.'","2026-09-03","02-TRANSACTION-COMPS.md"
"C211","2","One Click LCA / ENVI-met","One Click LCA announced the acquisition of ENVI-met, a microclimate simulation software company, in September 2024. No deal value appeared in the sources returned.","source-asserted","Blocked","https://oneclicklca.com/en/resources/press-release/one-click-lca-acquires-envi-met-to-lead-in-urban-climate-resilience-solutions","[BLOCKED: local egress proxy answered 403 to CONNECT. Source page never reached. Text below is search-result summary, not page text.] Search summary: 'In September 2024, One Click LCA announced its acquisition of ENVI-met.'","2026-09-03","02-TRANSACTION-COMPS.md"
"C212","2","Arcadis / IBI Group","Arcadis acquired IBI Group of Canada in 2022, at CAD 19.50 per share, an aggregate consideration of approximately CAD 873 million, a 30 percent premium to the 15 July 2022 share price. IBI employed more than 3,500 people.","source-asserted","Blocked","https://www.arcadis.com/en-us/news/global/2022/9/arcadis-completes-the-acquisition-of-ibi-group","[BLOCKED: local egress proxy answered 403 to CONNECT. Source page never reached. Text below is search-result summary, not page text.] Search summary: 'C$19.50 per share, representing a premium of 30% ... aggregate consideration of approximately C$873 million.'","2026-09-03","02-TRANSACTION-COMPS.md"
"C213","2","Verisk / 3E divestment","Verisk announced the sale of its 3E business to New Mountain Capital in January 2022 for USD 630 million cash at closing, up to USD 50 million of earnout payments based on 2023 and 2024 performance, and up to USD 270 million of additional deferred payments, a potential aggregate of up to USD 950 million. Verisk had acquired 3E in 2010 for USD 107 million.","source-asserted","Blocked","https://www.verisk.com/company/newsroom/verisk-announces-sale-of-3e-business-to-new-mountain-capital/","[BLOCKED: local egress proxy answered 403 to CONNECT. Source page never reached. Text below is search-result summary, not page text.] Search summary carries the $630M cash, up to $50M earnout, up to $270M deferred, and up to $950M aggregate figures.","2026-09-03","02-TRANSACTION-COMPS.md"
"C214","2","Deal structure disclosure","A search across the twelve core comparables returned no public statement of deal structure (asset purchase, share purchase, acqui-hire or earnout) for any of the small private targets. Structure was visible only where the target was a listed company or where an earnout was disclosed in a public-company filing.","source-asserted","Blocked","(WebSearch across the twelve comparable transactions listed in 02-TRANSACTION-COMPS.md)","Recorded absence. The asset-versus-share question cannot be answered from these comparables.","2026-09-03","02-TRANSACTION-COMPS.md; OPEN-QUESTIONS.md"
"C215","2","Small-deal value disclosure","Of the twelve core comparables, deal value is disclosed in three: Intertek / SAI Global Assurance at AUD 855 million, UL Solutions / Healthy Buildings International at approximately USD 6 million, and Arcadis / IBI Group at approximately CAD 873 million. Every transaction involving a small private LCA, EPD or building product data target was undisclosed.","researcher-derived","Not Tested","(derived from C200 to C213)","Basis for the finding that no public comparable prices an asset at EcoSpex's scale.","2026-09-03","02-TRANSACTION-COMPS.md"
"C216","2","Serial acquirer pattern","The recurring counterparty shape in this space is a serial small-cap acquirer rather than a one-off strategic buyer. WAP completed two LCA acquisitions in 2022 and was itself acquired in 2026. Anguleris completed three acquisitions across 2023 to 2025. Cority completed three sustainability acquisitions across 2021 to 2023.","researcher-derived","Not Tested","(derived from C203, C204, C207, C076, C200)","Directs the Phase 3 candidate list toward proven repeat buyers.","2026-09-03","02-TRANSACTION-COMPS.md"
"C217","2","What buyers pay for","Across the comparables, the stated rationale is delivery capacity, client relationships, geography, and accredited or program-operator standing. No comparable states that a dataset or a mapping methodology was the object of the purchase.","researcher-derived","Not Tested","(derived from C200 to C213)","Basis for the Phase 1 reframe from data asset to service-and-relationships tuck-in.","2026-09-03","02-TRANSACTION-COMPS.md; 01-ACQUIRER-CATEGORIES.md"
"C300","1","Green Badger transaction","A search for an acquisition of Green Badger, a LEED documentation software vendor, returned no acquisition record.","source-asserted","Unverifiable","(WebSearch: '""Green Badger"" acquired acquisition LEED documentation software')","Recorded absence. Search returned only vendor marketing pages and no transaction announcement.","2026-09-03","02-TRANSACTION-COMPS.md"
"C301","1","EPD programme operator transactions","A search for acquisitions of EPD programme operators by or of SCS Global Services and ASTM International in 2024 and 2025 returned no transaction.","source-asserted","Unverifiable","(WebSearch: '""program operator"" EPD acquisition acquired 2024 2025 SCS Global Services ASTM')","Recorded absence. Programme operator status appears not to trade in this window.","2026-09-03","01-ACQUIRER-CATEGORIES.md; 02-TRANSACTION-COMPS.md"
"C302","1","One Click LCA and EPD Hub","A search for a One Click LCA acquisition of EPD Hub returned no transaction. The relationship visible in public sources is product category rule alignment, not ownership.","source-asserted","Unverifiable","(WebSearch: 'One Click LCA acquisition EPD Hub 2024 2025')","Recorded absence. Corrects a plausible but unfounded assumption.","2026-09-03","02-TRANSACTION-COMPS.md"
"C303","1","Acelab EC3 API partner listing","Acelab does not appear in the Building Transparency list of technology providers leveraging EC3 EPD data via API that was returned by search, which named Autodesk, Bentley, Ecomedes, 2050 Materials, Tangible and cove.tool. Acelab's own material describes embodied carbon data integrated from EC3, so the absence from that list is not evidence of absent integration.","source-asserted","Blocked","https://www.buildingtransparency.org/tools/ec3/","Recorded absence, qualified. Held in tension with C061 rather than resolved.","2026-09-03","01-ACQUIRER-CATEGORIES.md; OPEN-QUESTIONS.md"
"C304","1","Anguleris sustainability data strategy","A search for an Anguleris EPD or sustainability data acquisition strategy returned nothing. Anguleris' published sustainability positioning concerns sample waste reduction under its Second Life Samples programme, not product environmental data.","source-asserted","Unverifiable","(WebSearch: 'Anguleris BIMsmith Swatchbox sustainability EPD data acquisition strategy 2026')","Recorded absence. Distinguishes a proven serial acquirer with no stated demand for this capability.","2026-09-03","01-ACQUIRER-CATEGORIES.md"
"C305","1","EcoSpex patent filing","No patent application reference for EcoSpex was located. The register's Patent Pending row carries no application reference and filing status is unconfirmed.","ecospex-asserted","Unverifiable","(in-session correction memo; no public filing search returned a record)","Recorded absence combined with the memo instruction to treat this as an open question, not an asset.","2026-09-03","00-SCOPE-AND-GROUND-TRUTH.md; OPEN-QUESTIONS.md"
"C400","1","CMF in LEED v5, independent corroboration","BuildingGreen, a trade publication independent of mindful MATERIALS, describes LEED v5 as assigning products a score based on a matrix modelled on the Common Materials Framework, and states that LEED v5 BD+C reconceives the previous multi-attribute assessment by leveraging the CMF, consolidating EPD, responsible sourcing and material health credits into a unified Building Product Selection and Procurement credit.","source-asserted","Blocked","https://www.buildinggreen.com/blog/leed-v5-catching-decarbonization-equity-and-resilience","[BLOCKED: local egress proxy answered 403 to CONNECT. Source page never reached. Text below is search-result summary, not page text.] 'Products are assigned a score based on a matrix modeled on Mindful Materials' Common Materials Framework' and 'LEED v5 BD+C reconceives of the last version's multi-attribute assessment by leveraging the CMF.'","2026-09-03","00-SCOPE-AND-GROUND-TRUTH.md; 01-ACQUIRER-CATEGORIES.md"
"C401","1","CMF collaboration predates 2026","The AIA, ILFI, IWBI, USGBC and mindful MATERIALS collaboration to advance CMF adoption within rating systems was announced in 2023. The 2026 Greenbuild statement is an expansion of that programme rather than a first announcement.","source-asserted","Blocked","https://workinmind.org/2023/11/23/common-materials-framework-championed-industry-figureheads/","[BLOCKED: local egress proxy answered 403 to CONNECT. Source page never reached. Text below is search-result summary, not page text.] 'In 2023, a radical collaboration was announced to scale industry action around the use of sustainable building products, with AIA, ILFI, IWBI, USGBC and mindful MATERIALS working on advancing the adoption of the Common Materials Framework within key building rating systems.'","2026-09-03","00-SCOPE-AND-GROUND-TRUTH.md; 01-ACQUIRER-CATEGORIES.md"
"C402","1","CMF Portal is powered by Ecomedes","HPD Collaborative states that it digitally connects HPD Open Standard compliant data from more than 700 manufacturers across more than 10,000 published HPD reports with the CMF Portal, powered by Ecomedes, Inc.","source-asserted","Blocked","https://www.hpd-collaborative.org/hpd-collaborative-supports-mindful-materials-common-materials-framework-new-digital-portal/","[BLOCKED: local egress proxy answered 403 to CONNECT. Source page never reached. Text below is search-result summary, not page text.] 'HPD Collaborative supports the Common Materials Framework by digitally connecting HPD Open Standard compliant data from over 700 manufacturers in 10,000+ published HPD reports with the CMF Portal powered by Ecomedes, Inc.'","2026-09-03","00-SCOPE-AND-GROUND-TRUTH.md; 01-ACQUIRER-CATEGORIES.md"
"C403","1","HPD Open Standard v3.0 shipped","HPD Builder is the web application for creating and publishing Health Product Declarations in compliance with HPD Open Standard Version 3.0, effective 29 September 2025.","source-asserted","Blocked","https://www.hpd-collaborative.org/hpd-builder/","[BLOCKED: local egress proxy answered 403 to CONNECT. Source page never reached. Text below is search-result summary, not page text.] 'HPD Open Standard Version 3.0, which became effective as of September 29, 2025.'","2026-09-03","00-SCOPE-AND-GROUND-TRUTH.md"
"C404","1","HPDC CMF Data Module claim not corroborated","A targeted search for the HPDC CMF Data Module in the HPD Builder, previously recorded at C052 as planned for early 2026, returned no launch or ship confirmation. The corroborated fact is instead the CMF Portal powered by Ecomedes. C052 is downgraded and is not relied on.","source-asserted","Unverifiable","(WebSearch: 'HPD Collaborative ""CMF Data Module"" HPD Builder launch shipped 2026')","Recorded absence against a claim this analysis previously carried. The Finding 1 chain does not rest on it.","2026-09-03","00-SCOPE-AND-GROUND-TRUTH.md; OPEN-QUESTIONS.md"
"C405","1","Finding 1 verification verdict","The commoditization finding holds on its load-bearing leg and loses one supporting leg. CMF is inside the LEED v5 credit structure per an independent trade source, the programme dates from 2023 rather than 2026, and LEED v5 is mandatory for new registrations from 1 July 2026. The HPDC data module leg is withdrawn. The finding is not announcement-stage.","researcher-derived","Not Tested","(derived from C400, C401, C404, C080)","Amendment 1 resolution. Re-tested by widening to independent sources because the egress proxy still refuses all hosts.","2026-09-03","00-SCOPE-AND-GROUND-TRUTH.md; 01-ACQUIRER-CATEGORIES.md"
"C406","1","Egress still blocked at re-test","A re-probe of mindfulmaterials.com, usgbc.org and hpd-collaborative.org on 3 September 2026 returned no connection. Reading the CMF sources at source was not possible.","researcher-derived","Verified","http://127.0.0.1:37535/__agentproxy/status","curl returned 000 for all three hosts, consistent with the recorded connect_rejected 403 policy denials.","2026-09-03","00-SCOPE-AND-GROUND-TRUTH.md; OPEN-QUESTIONS.md"
"C410","0","Account base is pipeline, not contracted","Cairnline states that the 60 plus accounts are pipeline rather than contracted revenue, and that the IRAP tranche is gated on producing three to five repeatable closes.","researcher-derived","Not Tested","(Cairnline amendment, 3 September 2026)","Supplied by the engagement owner as a correction to Q1. Recorded as a principal-supplied fact, not independently tested.","2026-09-03","00-SCOPE-AND-GROUND-TRUTH.md; 01-ACQUIRER-CATEGORIES.md; OPEN-QUESTIONS.md"
"C411","0","IRAP gate inference","A funding tranche gated on producing three to five repeatable closes is only a gate if those closes have not yet occurred. This is consistent with the account base being pipeline.","researcher-derived","Not Tested","(derived from C410)","Inference stated so it can be contradicted if closes have in fact occurred.","2026-09-03","00-SCOPE-AND-GROUND-TRUTH.md"
"C412","0","PEL revenue is the deciding question","The question that decides the mandate is PEL trailing 24 month revenue, the share of it contracted forward, the assignability of those agreements on change of control, and the share that was subsidised.","researcher-derived","Not Tested","(derived from C410, C042, C015)","Reframed one level down from the pipeline question. The subsidy component is added because EcoSpex states its listings carry a 60 percent IESO-funded discount, so trailing revenue is not evidence of willingness to pay at list.","2026-09-03","00-SCOPE-AND-GROUND-TRUTH.md; OPEN-QUESTIONS.md"
"C420","0","Delivery capacity is two people","Cairnline states that EcoSpex's delivery capacity is two people, Julie and James.","researcher-derived","Not Tested","(Cairnline amendment, 3 September 2026)","Supplied by the engagement owner. Compare comparables: WAP close to 100 employees, EcoAct approximately 400.","2026-09-03","00-SCOPE-AND-GROUND-TRUTH.md; 01-ACQUIRER-CATEGORIES.md"
"C421","0","Key person and technical contributor","Cairnline states that James is the core technical contributor and has an unresolved payment dispute, and that the sale object is effectively an acqui-hire requiring the founder personally to transfer and stay.","researcher-derived","Not Tested","(Cairnline amendment, 3 September 2026)","Supplied by the engagement owner.","2026-09-03","00-SCOPE-AND-GROUND-TRUTH.md; OPEN-QUESTIONS.md"
"C422","0","Dispute and chain of title are one risk","The unresolved payment dispute with the core technical contributor and the absence of any chain of title record are a single ownership risk, not two separate issues. A contributor who is owed money and has no signed IP assignment is a motivated counterparty with a colourable ownership position over the technical assets.","researcher-derived","Not Tested","(derived from C017, C013, C421)","Highest-severity item in the file. Survives both deal shapes.","2026-09-03","00-SCOPE-AND-GROUND-TRUTH.md; OPEN-QUESTIONS.md"
"C423","0","Tuck-in framing does not survive two FTE","No transaction in the comparable set involved a two-person target. The smallest disclosed value found was approximately USD 6 million for Healthy Buildings International, a business founded in 1992. At two FTE the object of a transaction is a founder retention package plus a dataset, brand and account relationships, not billable delivery capacity.","researcher-derived","Not Tested","(derived from C420, C200, C206, C210, C217)","Constrains categories A and B materially. Written before the PEL revenue answer is known.","2026-09-03","00-SCOPE-AND-GROUND-TRUTH.md; 01-ACQUIRER-CATEGORIES.md"
"C430","0","Status vocabulary amended","A fourth status, Blocked, is added and is scoped to sources this session's own egress proxy refused. Unverifiable is now scoped to remote refusals and to searches that ran and returned nothing. The distinction prevents a tooling limit being read as a finding about a target.","researcher-derived","Verified","(Cairnline amendment, 3 September 2026)","53 rows previously Unverifiable were re-graded: proxy-blocked rows to Blocked, null-search findings retained as Unverifiable.","2026-09-03","00-SCOPE-AND-GROUND-TRUTH.md; ledger/claims.csv"
